,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
6446,23.3,49.0,12.0,2,767.4,0.0,404.0,17.37,0.0303622621839979
813,19.6,57.0,10.8,3,755.4,0.0,406.0,17.46,0.0259465184008472
7831,16.9,87.0,14.8,2,759.4,0.0,61.0,2.62,0.0222544113774032
11716,21.6,62.0,14.0,2,764.4,0.0,159.0,6.84,0.0282574568288854
10625,14.6,81.0,11.3,0,761.0,0.0,0.0,0.0,0.019185282522996
7817,14.9,95.0,14.1,2,759.8,0.0,97.0,4.17,0.0196104237957357
3293,16.1,69.0,10.4,2,754.6,0.0,53.0,2.28,0.0213358070500927
4722,17.1,93.0,15.9,0,759.8,0.0,25.0,1.08,0.0225059226112134
7300,18.3,65.0,11.6,1,761.1,0.0,299.0,12.86,0.0240441466298778
7705,13.6,88.0,11.6,2,759.5,0.0,0.0,0.0,0.0179065174456879
5935,13.4,69.0,7.9,1,766.3,0.0,72.0,3.1,0.0174866240375831
487,20.1,55.0,10.7,1,754.8,0.0,567.0,24.38,0.0266295707472178
9300,15.3,76.0,11.1,5,752.8,0.0,43.0,1.85,0.0203241232731137
8842,21.5,59.0,13.1,4,752.2,0.0,58.0,2.49,0.0285828237170965
11313,8.9,86.0,6.7,1,766.9,0.0,13.0,0.56,0.0116051636458469
2155,16.3,82.0,13.2,1,754.9,0.0,259.0,11.14,0.02159226387601
6371,12.6,81.0,9.4,0,764.8,0.0,0.0,0.0,0.0164748953974895
10576,16.1,87.0,13.9,0,758.3,0.0,0.0,0.0,0.0212317024924172
6846,14.8,63.0,7.9,3,762.9,0.0,0.0,0.0,0.0193996591951763
8866,17.5,88.0,15.5,0,750.4,0.0,55.0,2.37,0.023320895522388
8359,27.6,51.0,16.6,2,763.7,0.0,384.0,16.51,0.0361398454890663
10597,15.1,93.0,13.9,0,758.9,0.0,170.0,7.31,0.0198972196600342
7029,16.7,80.0,13.2,0,761.3,0.0,7.0,0.3,0.0219361618284513
