,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
11216,16.0,95.0,15.2,1,758.2,0.0,1.0,0.04,0.0211026114481667
4209,25.9,48.0,14.1,0,759.6,0.0,216.0,9.29,0.0340968931016324
4405,16.2,69.0,10.5,1,761.7,0.0,72.0,3.1,0.0212682158330051
9712,13.2,66.0,7.0,0,758.7,0.0,0.0,0.0,0.0173981810992487
7755,14.9,85.0,12.4,4,758.4,0.0,0.0,0.0,0.0196466244725738
11131,24.6,61.0,16.6,2,754.5,0.0,470.0,20.21,0.0326043737574552
5776,11.6,98.0,11.3,1,750.3,0.0,4.0,0.17,0.0154604824736771
5306,14.2,84.0,11.6,0,763.4,0.0,0.0,0.0,0.0186009955462405
6064,15.8,94.0,14.9,0,759.5,0.0,26.0,1.12,0.0208031599736668
10586,14.1,92.0,12.8,0,758.4,0.0,0.0,0.0,0.0185917721518987
9031,22.3,62.0,14.7,2,759.6,0.0,78.0,3.35,0.0293575566087414
9094,18.1,84.0,15.3,0,756.3,0.0,0.0,0.0,0.0239323019965622
5616,18.8,47.0,7.3,0,761.7,0.0,402.0,17.29,0.0246816331889195
381,11.6,87.0,9.5,0,761.3,0.0,34.0,1.46,0.0152370944437146
9932,16.7,51.0,6.5,2,761.5,0.0,320.0,13.76,0.021930400525279
2427,19.8,76.0,15.4,0,755.5,0.0,580.0,24.94,0.0262078093977498
5710,17.9,74.0,13.2,4,755.5,0.0,566.0,24.34,0.0236929185969556
11041,24.7,58.0,15.8,1,758.3,0.0,449.0,19.31,0.0325728603455096
2337,20.9,75.0,16.3,0,760.2,0.0,299.0,12.86,0.0274927650618258
10550,16.3,86.0,13.9,0,758.2,0.0,78.0,3.35,0.0214982854128198
11477,18.3,71.0,13.0,3,761.7,0.0,72.0,3.1,0.0240252067743205
11734,14.3,92.0,13.1,1,765.2,0.0,0.0,0.0,0.0186879247255619
7913,18.9,94.0,17.9,0,752.4,0.25,436.0,18.75,0.0251196172248803
1562,22.1,52.0,11.8,1,755.8,0.0,698.0,30.02,0.0292405398253506
4020,21.6,63.0,14.2,0,765.3,0.0,68.0,2.92,0.0282242257938063
8460,25.3,52.0,14.7,1,760.1,0.0,33.0,1.42,0.0332850940665701
6590,16.8,68.0,10.8,2,767.7,0.0,144.0,6.19,0.0218835482610394
3564,11.7,72.0,6.8,4,740.0,0.0,74.0,3.18,0.0158108108108108
9839,17.9,58.0,9.6,4,754.9,0.0,473.0,20.34,0.023711749900649
5480,16.3,93.0,15.2,0,762.5,0.0,51.0,2.19,0.0213770491803278
34,12.7,89.0,10.9,1,763.2,0.0,139.0,5.98,0.0166404612159329
10937,18.9,76.0,14.6,2,764.9,0.0,199.0,8.56,0.0247091123022617
7154,19.0,68.0,13.0,4,756.8,0.0,460.0,19.78,0.0251057082452431
11581,18.6,78.0,14.6,0,766.4,0.0,0.0,0.0,0.0242693110647181
6245,14.2,84.0,11.5,3,747.8,0.0,77.0,3.31,0.0189890345012035
1814,20.2,64.0,13.2,1,748.0,0.0,90.0,3.87,0.0270053475935828
10305,12.6,86.0,10.3,0,762.1,0.0,12.0,0.52,0.0165332633512662
4174,23.8,47.0,11.8,1,763.5,0.0,316.0,13.59,0.0311722331368696
3995,14.4,82.0,11.4,0,767.2,0.0,12.0,0.52,0.0187695516162669
6259,10.6,91.0,9.2,1,750.4,0.0,266.0,11.44,0.0141257995735607
1098,22.3,79.0,18.5,2,753.9,0.0,295.0,12.69,0.0295795198302162
